,title,dj_name,dj_id,spins,avg_danceability,avg_energy,avg_loudness,avg_acousticness,avg_instrumentalness,avg_valence,avg_tempo,avg_duration_ms,avg_time_signature,genre_1,genre_2,genre_3
10,Caution,Nathan Steighner,164729,301,0.4488637873754152,0.5247528571428572,-10.070192691029895,0.38239919850498355,0.27922938465116276,0.37515282392026594,119.21253488372098,226767.63122923588,3.840531561461794,Singer-Songwriter,Dream Pop,Indie Rock
11,Cryptid Music,Oliver,166434,320,0.45580562500000027,0.5781366562499993,-11.340581250000003,0.4054012973749998,0.54084109865625,0.38607812499999994,118.33132500000006,253475.1375,3.76875,Neo-Psychedelia,Progressive Electronic,Electronic
12,Crème Patisserie,Evan Scheel,164859,66,0.6843484848484845,0.6668484848484851,-8.17160606060606,0.2377652924242425,0.11584018530303028,0.7240909090909089,117.29753030303027,230218.21212121213,3.893939393939394,Psychedelic Rock,Indie Pop,Funk
13,Das Kapital,,165005,202,0.552339603960396,0.624731683168317,-8.104594059405947,0.2167379264356435,0.08697686574257427,0.5348188118811881,124.39958910891093,228679.78217821784,3.9554455445544554,Alternative Rock,Singer-Songwriter,Pop Rock
14,Dave's Record Collection,Dave Sisson,164897,787,0.5088449809402796,0.5246684116899621,-10.577030495552727,0.38711625260482824,0.1697677612579417,0.5151766200762389,120.35175222363392,260446.08005082593,3.864040660736976,Singer-Songwriter,Blues Rock,Pop Rock
15,Delightfully Depressing,Leah Bush,164957,51,0.5370980392156862,0.7168627450980395,-7.708,0.13989037235294116,0.3203598015686276,0.4852411764705882,120.98205882352941,246619.39215686274,3.980392156862745,Dream Pop,Synthpop,Indie Rock
16,Electric Candle,Dominick,164894,506,0.433752964426877,0.5818276284584992,-11.263416996047415,0.3174190180632409,0.34332408525691654,0.4802347826086962,125.16665415019753,371196.3774703557,3.8596837944664033,Psychedelic Rock,Blues Rock,Hard Rock
17,Everything Reminds Me of Her,Ana,166607,371,0.5188380053908352,0.5442827493261457,-10.584991913746627,0.36910506566037754,0.2754903288409705,0.4558954177897575,121.36061994609159,236274.9973045822,3.8436657681940702,Singer-Songwriter,Indie Folk,Indie Pop
18,Femcel Radio,Carly Burns,168884,80,0.5074375000000002,0.6249625000000002,-8.593074999999999,0.2649656937500001,0.01513607625,0.5078662499999997,130.6962375,170653.2125,3.75,Indie Rock,Pop Rock,Indie Pop
19,Flavor of the Week,Julia Parker,164801,181,0.6103093922651941,0.6700640883977901,-7.8974806629834235,0.22533209613259658,0.0332050879558011,0.6113602209944752,123.13080662983425,219726.182320442,3.9447513812154695,Pop Rock,Dance-Pop,Contemporary R&B
20,Florecita Rockera,Teresa Montoya,169589,28,0.49228571428571416,0.8035000000000002,-6.699357142857143,0.07340539999999998,0.17060862892857145,0.5907142857142859,133.15942857142858,219256.75,4.0,Latin Alternative,Alternative Rock,Pop Rock
21,Gingersnap,Molly,166606,462,0.5764177489177488,0.6822246753246751,-7.157744588744591,0.17654417469696984,0.1417733592857143,0.49584372294372353,124.73648484848486,236114.8722943723,3.911255411255411,Indie Pop,Indie Rock,Synthpop
22,Girlypop!,Willow Morrissey,164712,214,0.5001168224299065,0.703428504672897,-7.770495327102799,0.2115843331775701,0.1665871513084112,0.5542780373831779,130.3880700934579,204594.13551401868,3.953271028037383,Indie Rock,Indie Pop,Riot Grrrl
23,Halcyon Days,ARI,164759,190,0.6564473684210523,0.6311000000000005,-6.845847368421053,0.29471540000000007,0.04578603468421055,0.6199668421052629,117.69446315789476,212834.16842105263,3.963157894736842,Contemporary R&B,Alternative R&B,K-Pop
24,Happy Songs for Sad B's,Evan Hecht,164949,94,0.6954893617021276,0.8051170212765961,-5.854446808510643,0.06822042872340424,0.025444140957446813,0.6506702127659576,121.36313829787227,224017.1595744681,3.9893617021276597,Dance-Pop,Pop,Electropop
25,House Time,Nate Schnitzer,169437,38,0.7566578947368421,0.783,-5.2476315789473675,0.039367973684210536,0.22644617578947365,0.6073684210526317,123.86028947368423,216772.05263157896,4.0,Dance-Pop,Electropop,Pop Rap
26,How to Be a Human Being,Shaun Walters,164904,153,0.573475163398693,0.5845660130718953,-8.076686274509806,0.2991605660130718,0.10341269895424834,0.4619254901960784,118.06550326797391,217143.6274509804,3.9281045751633985,Indie Pop,Pop Rock,Alternative R&B
27,Inner City Radio,Moike,164816,33,0.6217575757575756,0.628469696969697,-9.26551515151515,0.23746665757575755,0.1984710703030303,0.6070303030303029,122.79454545454544,242801.18181818182,3.9696969696969697,Pop Rock,Dream Pop,Heavy Metal
28,Input/Output,Kellen Gardner,164984,103,0.4568300970873784,0.7114485436893205,-7.715077669902912,0.1609612135922329,0.2898908491262138,0.4018650485436891,129.92077669902903,288008.92233009706,3.9805825242718447,Post-Hardcore,Alternative Rock,Emo
29,Intercultural Exchange,Abhin Kurella,169208,95,0.7531157894736844,0.6162421052631577,-7.410147368421057,0.2506308421052631,0.02725568052631579,0.52566,120.8359052631579,173323.2210526316,4.0,Trap,Pop Rap,Contemporary R&B
30,It's Indie Innit,Thomas Szymkiewicz,164847,251,0.5188354581673308,0.8120199203187249,-5.325792828685261,0.07666152972111549,0.06452170011952195,0.5189908366533867,134.49952589641438,206735.54581673307,3.99601593625498,Indie Rock,Indie Pop,Post-Punk Revival
31,JoeCoolRadio,Joe Lewis,165209,311,0.5449807073954985,0.3896823151125405,-12.557864951768488,0.5741548553054664,0.10949486848874593,0.4800839228295821,115.14203215434085,237614.95819935692,3.855305466237942,Pop Rock,Singer-Songwriter,Blues Rock
32,Jungle Juice,Logan Maroclo,169078,104,0.5762692307692308,0.5912403846153848,-9.04571153846154,0.2972134903846154,0.17780809278846155,0.46637019230769217,119.92887500000003,224364.59615384616,3.9711538461538463,Singer-Songwriter,Synthpop,Pop Rap
33,K-Pop Slay-Pop,Annie Petersen,164700,363,0.6228870523415975,0.6569944903581266,-6.096801652892559,0.247228,0.015439864710743807,0.5049506887052334,125.40845179063363,211183.2699724518,3.961432506887052,K-Pop,Dance-Pop,Pop Rock
34,Keeping Score,Carolyn Wood,164777,84,0.3136511904761906,0.318586904761905,-15.426964285714288,0.6768399523809523,0.7889030952380952,0.1904952380952381,107.3802142857143,204969.55952380953,3.8333333333333335,Film Score,Film Soundtrack,Cinematic Classical
35,Kimi no Station,Kimi no DJ,164747,189,0.6325767195767202,0.6730423280423278,-7.8824021164021145,0.2938825502645505,0.06614698904761902,0.6514391534391537,127.1245291005291,260426.3015873016,4.0,City Pop,New Music,Sunshine Pop
36,La Hora Salsera,DJ Salsero,164756,289,0.688785467128028,0.7049377162629757,-7.278882352941173,0.5506024221453288,0.028317702249134945,0.8692352941176472,112.41848442906563,267916.5363321799,3.986159169550173,Salsa,Salsa dura,Latin Pop
37,Last Words,Kai Smith,169409,42,0.5814999999999999,0.5610880952380953,-9.137476190476189,0.3291822857142857,0.2831444904761905,0.506345238095238,118.33309523809525,219517.52380952382,4.023809523809524,Indie Pop,Art Pop,Neo-Soul
38,Lost Vinyl w/ Bull Records,Jake McInturff,164823,134,0.47894776119402976,0.5271619402985073,-10.42070149253732,0.42590320373134316,0.17417102477611934,0.5533470149253732,120.96609701492541,248412.58955223882,3.8656716417910446,Singer-Songwriter,Soul,Heavy Psych
39,Memory Lane,Madoka Minagawa,164952,198,0.5433484848484849,0.5873176767676769,-8.72022727272727,0.296487459090909,0.10167582676767672,0.4891414141414146,118.18635353535346,235508.9696969697,3.904040404040404,Indie Rock,Singer-Songwriter,Pop Rock
40,Music and Motors,Pat,164865,62,0.550467741935484,0.6798064516129031,-8.928629032258064,0.21273093064516127,0.14429968112903224,0.6031532258064516,126.83719354838705,252436.35483870967,3.935483870967742,Pop Rock,Progressive Rock,Hard Rock
41,Mystic Hour,Millie Elwell,168910,54,0.6327592592592594,0.5977407407407407,-7.682759259259261,0.30114500000000005,0.030337505740740737,0.5292759259259259,117.58933333333333,222102.35185185185,3.925925925925926,Pop Rock,Indie Pop,Pop
42,Nervous Child Collective,Nervous Child Collection,164925,73,0.5124383561643837,0.6072383561643839,-7.477972602739725,0.313350487671233,0.05007566876712329,0.39395479452054805,116.82049315068497,219425.86301369863,3.958904109589041,Pop Rock,Art Pop,Singer-Songwriter
43,New York House Groove,Paul Gould,165203,183,0.7405792349726771,0.7484590163934426,-9.041754098360654,0.06536520174863387,0.5836701262295083,0.630362295081967,122.45772131147531,371014.74863387976,3.9836065573770494,Deep House,House,Dance-Pop
44,NightCrawlin',DJ Ed,164876,152,0.5865855263157894,0.7058460526315793,-6.876328947368419,0.19595198684210532,0.1740579517105262,0.4198118421052632,121.44398684210535,213207.03289473685,3.960526315789474,Dance-Pop,Electro House,Festival Progressive House
45,Nostalgia in a Bottle,Andrea Moreland,164922,191,0.6166073298429315,0.7307068062827221,-7.452811518324614,0.1674548422513089,0.04999404727748691,0.6845680628272252,121.94181151832458,231793.13612565445,3.9842931937172774,Pop Rock,Pop,Singer-Songwriter
46,Ode to my Middle School Self,quinn,164862,228,0.5553421052631579,0.7142543859649124,-5.638710526315791,0.13194347807017548,0.014921243421052627,0.44932061403508744,128.0807280701755,227065.8201754386,3.93859649122807,Pop Rock,Electropop,Dance-Pop
